"pinyinnum","pinyintone","pinyinnone","traditional","simplified","MC","OC","radsup","morph","variant","Kroll","zdic","note"
"fei4~fei4","fèi~fèi","fei~fei","狒狒","狒狒","bj+jH~bj+JH","NA~NA","犬","RED","NA","moulin langur, golden snub-nosed monkey (Rhinopithecus rexellana)","動物名。哺乳綱靈長目猴屬。體長三尺許，口吻突出，頭側及頸有長毛密生，凶暴多力。或稱為「費費」、「土塿」、「狗頭狒」。","animal; synonymous with 梟羊 xiao1yang2, 狨 rong2"
"zheng1~zheng1","zhēng~zhēng","zheng~zheng","丁丁","丁丁","tsreng~tsreng","*tˤeŋ~*tˤeŋ","NA","RED","NA","onom. Axe hitting a tree","狀聲詞：(1)​ 形容伐木的聲音。詩經．小雅．伐木：「伐木丁丁，鳥鳴嚶嚶。」(2)​ 形容下雨的聲音。唐．元稹．景申秋詩八首之三：「嗢嗢簷霤凝，丁丁窗雨繁。」(3)​ 形容樂器彈奏的聲音。唐．許渾．聽琵琶詩：「欲寫明妃萬里情，紫槽紅撥夜丁丁。」(4)​ 形容下棋的聲音。宋．王禹偁．黃州新建小竹樓記：「宜圍棋，子聲丁丁然。」","NA"
"qian2~qian2","qián~qián","qian~qian","乾乾","乾乾","kan~kan","*[k]ˤar~*[k]ˤar","NA","RED","NA","NA","自強不息的樣子。易經．乾卦．九三：「君子終日乾乾，夕惕若厲，無咎。」","maybe pronounced as gan4"
"liao3~liao3","liǎo~liǎo","liao~liao","了了","了了","ljewX~ljewX","NA~NA","NA","RED","NA","quick and perceptive","聰明慧黠。南朝宋．劉義慶．世說新語．言語：「小時了了，大未必佳。」明白、清楚。唐．李白．秋浦歌：「桃波一步地，了了語聲聞。」如：「不甚了了」。近明晰清理。如：「了了虧空。」語尾助詞。有非常之意。如：「白了了」。","NA"
"yun2~yun2","yún~yún","yun~yun","云云","云云","hjun~hjun","*[ɢ]ʷə[r]~*[ɢ]ʷə[r]","NA","RED","NA","NA","如此如此。漢書．卷五十．汲黯傳：「上方招文學儒者，上曰吾欲云云。」近如此紛紜的議論。晉書．卷七十八．孔愉傳：「人口云云，無所不至。」文明小史．第二十九回：「至於兵船來到的話，乃是謠言，還祈從中替府憲說明，免致驚疑云云。」眾多的樣子。莊子．在宥：「萬物云云，各復其根。」亦作「芸芸」。","NA"
"jiao1~jiao1","jiāo~jiāo","jiao~jiao","交交","交交","kaew~~ kaew","*[k]ˤraw~*[k]ˤraw","NA","RED","NA","NA","NA","NA"
"yi4~yi4","yì~yì","yi~yi","亦亦","亦亦","yek~yek","*[ɢ](r)Ak~*[ɢ](r)Ak","NA","RED","NA","great and grand, imposing, richly replete; (med.) proudly aloof; (med.) flashing and shining, gleaming","NA","NA"
"jing1~jing1","jīng~jīng","jing~jing","京京","京京","kaeng~~ kaeng","*[k]raŋ~*[k]raŋ","NA","RED","NA","NA","憂愁不絕的樣子。詩經．小雅．正月：「念我獨兮，憂心京京。」後漢書．卷五．孝安帝紀：「夙夜克己，憂心京京。」","NA"
"ting2~ting2","tíng~tíng","ting~ting","亭亭","亭亭","deng~deng","*m-tˤeŋ~*m-tˤeŋ","NA","RED","NA","stand straight, tall and upright, jutting erect; far and remote","高聳直立的樣子。文選．何劭．遊仙詩：「青青陵上松，亭亭高山柏。」後形容女子苗條，姿態秀美。唐．獨孤及．和贈遠詩：「美人挾瑟對芳樹，玉顏亭亭與花雙。」遠貌。文選．曹丕．雜詩二首之二：「西北有浮雲，亭亭如車蓋。」文選．謝靈運．泛湖歸出樓中玩月詩：「亭亭映江月，瀏瀏出谷飆。」高潔貌。後漢書．卷六十下．蔡邕傳：「情志泊兮心亭亭，嗜欲息兮無由生。」","NA"
"wei3~wei3","wěi~wěi","wei~wei","亹亹","亹亹","mj+jX~mj+jX","*mˤər~*mˤər","NA","RED","亹亹, 娓娓","unstinting and tireless, untiring, indefatigable, earnestly diligent, resolute; compelling, urgent, steadily advancing","連續而不倦怠。詩經．大雅．文王：「亹亹文王，令聞不已。」三國演義．第六十九回：「輅亹亹而談，言言精奧。」往前進的樣子。楚辭．宋玉．九辯:「時亹亹而過中兮，蹇淹留而無成。」","radical support?"
"qiu2~qiu2","qiú~qiú","qiu~qiu","仇仇","仇仇","gjuw~~ gjuw","*[g](r)u~*[g](r)u","NA","RED","NA","NA","傲慢的樣子。詩經．小雅．正月：「執我仇仇，亦不我力。」","NA"
"jie4~jie4","jiè~jiè","jie~jie","介介","介介","keajH~keajH","*kˤr[e]p-s~*kˤr[e]p-s","NA","RED","NA","NA","分隔。楚辭．劉向．九歎．惜賢：「進雄鳩之耿耿兮，讒介介而蔽之。」心有所存，不能忘懷。後漢書．卷二十四．馬援傳：「但畏長者家兒或在左右，或與從事殊難得調，介介獨惡是耳。」聊齋志異．卷一．青鳳：「誠然，但使人不能無介介耳。」孤高耿直，有節操。唐．韓愈．河南府法曹參軍盧府君夫人苗氏墓誌銘：「法曹之終，諸子實幼，煢煢其哀，介介其守。」狀聲詞。形容呼吸時喉嚨所發出的聲音。宋．洪邁．夷堅乙志．卷十五．宣城冤夢：「夜中驚魘，叔呼之不應，撼之數十，但喉中介介作聲。」","NA"
"yi4~yi4","yì~yì","yi~yi","仡仡","仡仡","ngj+t~ngj+t","*[ŋ]ət~*[ŋ]ət","人","RED","NA","brave and bold, strong and stalwart, hardy, unassailable","勇壯的樣子。書經．泰誓：「仡仡勇夫，射御不違。」漢書．卷七十五．李尋傳：「昔秦穆公說諓諓之言，任仡仡之勇，身受大辱，社稷幾亡。」高大的樣子。詩經．大雅．皇矣：「臨衝茀茀，崇墉仡仡。」","NA"
"ling4~ling4","lìng~lìng","ling~ling","令令","令令","leng~leng","*[r]ˤiŋ~*[r]ˤiŋ","NA","RED","NA","NA","NA","NA"
"ji4~ji4","jì~jì","ji~ji","伎伎","伎伎","gjeX~gjeX","*[g]reʔ~*[g]reʔ","人","RED","NA","NA","步行舒緩的樣子。詩經．小雅．小弁：「鹿斯之奔，維足伎伎。」","NA"
"xiu1~xiu1","xiū~xiū","xiu~xiu","休休","休休","xjuw~xjuw","*qʰ(r)u~*qʰ(r)u","人","RED","NA","NA","喜樂正道。詩經．唐風．蟋蟀：「好樂無荒，良士休休。」寬容、好善。書經．秦誓：「其心休休焉，其如有容。」退休。唐司空圖退隱，題其所建亭名為休休，見舊唐書．卷一九○．文苑傳下．司空圖傳。故以休休為退休意。宋．辛棄疾．鷓鴣天．枕簟溪堂冷欲秋詞：「書咄咄，且休休，一丘一壑也風流。」失意、失志。宋．李清照．鳳凰臺上憶吹簫．香冷金猊詞：「休休，者回去也，千萬遍陽關，也則難留。」狀聲詞。形容喘息、呼氣的聲音。聊齋志異．卷二．阿寶：「生臥三日，氣休休若將澌滅。」酒氣發散，使人肢體舒暢。宋．蘇軾．沐浴啟聖僧舍與趙德麟邂逅詩：「酒清不醉休休暖，睡穩如禪息息勻。」","NA"
"pi1~pi1","pī~pī","pi~pi","伾伾","伾伾","phij~phij","NA~NA","人","RED","NA","stout and sturdy, robust and strapping","形容有力的樣子。詩經．魯頌．駉：「有騂有騏，以車伾伾。」","NA"
"ci3~ci3","cǐ~cǐ","ci~ci","佌佌","佌佌","tshjeX~tshjeX","NA~NA","人","RED","NA","NA","小的樣子。詩經．小雅．正月：「佌佌彼有屋，蔌蔌方有穀。」","NA"
"bi4~bi4","bì~bì","bi~bi","佖佖","佖佖","bjit~bjit","NA~NA","人","RED","NA","stately impressive, awe-inspiring","NA","NA"
"tuo2~tuo2","tuó~tuó","tuo~tuo","佗佗","佗佗","tha~tha","*l̥ˤaj~*l̥ˤaj","人","RED","NA","NA","雍容自得的樣子。詩經．鄘風．君子偕老：「委委佗佗，如山如河。」錯綜複雜的樣子。史記．卷一一七．司馬相如傳：「與其窮極倦欲，驚憚慴伏，不被創刃而死者，佗佗籍籍，填坑滿谷，揜平彌澤。」","NA"
"yang2~yang2","yáng~yáng","yang~yang","佯佯","佯佯","yang~yang","NA~NA","人","RED","NA","simultate, feign; pretend; affect; take on the air of; many and multiple, manifold and multifarious","垂頭喪氣的樣子。初刻拍案驚奇．卷十二：「對著牆裡，嘆了一口氣，有一步，沒一步的，佯佯走了去。」裝模作樣的樣子。唐．韓偓．厭花落詩：「也曾同在華堂宴，佯佯攏鬢偷迴面。」初刻拍案驚奇．卷二：「那娼妓卻笑容可掬，佯佯地道了個萬福。」","NA"
"tiao1~tiao1","tiāo~tiāo","tiao~tiao","佻佻","佻佻","dew~dew","NA~NA","人","RED","NA","advancing alone, proceed singly","獨行的樣子。詩經．小雅．大東：「佻佻公子，行彼周行。」","tiao2 usually reads as tiao1"
"jiao3~jiao3","jiǎo~jiǎo","jiao~jiao","佼佼","佼佼","kaewX~kaewX","NA~NA","人","RED","NA","NA","美好出眾的樣子。後漢書．卷十一．劉盆子傳：「卿所謂鐵中錚錚，傭中佼佼者也。」反平庸","NA"
"shen1~shen1","shēn~shēn","shen~shen","侁侁","侁侁","srin~srin","NA~NA","人","RED","NA","pace or rush to and fro; in great numbers","形容行走的聲音。楚辭．宋玉．招魂：「豺狼從目，往來侁侁些。」","NA"
"kan3~kan3","kǎn~kǎn","kan~kan","侃侃","侃侃","khanX~khanX","NA~NA","人","RED","NA","affable and easygoing, congenial, open and aboveboard","剛直。唐．柳宗元．銀青光祿大夫右散騎常侍輕車都尉宜城縣開國伯柳公行狀：「立誠之節，侃侃焉無所屈也。」和樂的樣子。論語．先進：「冉有、子貢，侃侃如也。」從容不迫的樣子。如：「侃侃而談」。","NA"
"yi1~yi1","yī~yī","yi~yi","依依","依依","'j+j~'j+j","*ʔəj~*ʔəj","人","RED","NA","gentle and graceful, gently and easily","枝葉柔弱的樣子。詩經．小雅．采薇：「昔我往矣，楊柳依依；今我來思，雨雪霏霏。」留戀不捨的樣子。唐．王維．渭川田家詩：「田夫荷鋤至，相見語依依。」如：「依依不捨」。想念、思慕。文選．李陵．答蘇武書：「望風懷想，能不依依。」依稀、隱約。晉．陶淵明．歸園田居詩五首之一：「曖曖遠人村，依依墟里煙。」","radical support?"
"pian2~pian2","pián~pián","pian~pian","便便","便便","bjien~bjien","*[b]e[n]-s~*[b]e[n]-s","人","RED","NA","1. glib and guileful, smoot-talking; fawning and lattering 2. full-bellied, roundbellied, well-fed","辯說的樣子。論語．鄉黨：「孔子於鄉黨，恂恂如也，似不能言者。其在宗廟朝廷，便便言，唯謹爾。」肥胖的樣子。後漢書．卷八十．文苑傳上．邊韶傳：「韶口辯，曾晝日假臥，弟子私嘲之曰：『邊孝先，腹便便。懶讀書，但欲眠。』」","'by orderly method' 循 means to follow so a construction of 'following, abiding by order'"
"yu3~yu3","yǔ~yǔ","yu~yu","俁俁","俣俣","muX~muX","NA~NA","人","RED","NA","NA","NA","NA"
"qiu2~qiu2","qiú~qiú","qiu~qiu","俅俅","俅俅","gjuw~gjuw","NA~NA","人","RED","NA","capped with distinction; reverent and respectful","恭順的樣子。詩經．周頌．絲衣：「絲衣其紑，載弁俅俅。」","NA"
"guang4~guang4","guàng~guàng","guang~guang","俇俇","俇俇","gjwangX~gjwangX","NA~NA","人","RED","NA","wild haste; terror-stricken","驚惶急遽的樣子。楚辭．劉向．九歎．思古：「魂俇俇而南行兮，泣霑襟而濡袂。」","俇 kuang2 also guang4 (MC gjwang)"
"yu2~yu2","yú~yú","yu~yu","俞俞","俞俞","yu~yu","*lo~*lo","人","RED","俞俞, 俞然","contented, satisfied; at ease","從容自得的樣子。莊子．天道：「無為則俞俞，俞俞者，憂患不能處，年壽長矣。」","NA"
"chang1~chang1","chāng~chāng","chang~chang","倀倀","伥伥","trjang~trjang","NA~NA","人","RED","NA","blindly, recklessly, with no concern for others","無所適從的樣子。禮記．仲尼燕居：「治國而無禮，譬猶瞽之無相與，倀倀乎其何之？」荀子．修身：「人無法則倀倀然。」楊倞．注：「倀倀，無所適貌，言不知所措履。」","NA"
"xie2~xie2","xié~xié","xie~xie","偕偕","偕偕","keaj~keaj","*kˤrij~*kˤrij","人","RED","NA","NA","強壯的樣子。詩經．小雅．北山：「偕偕士子，朝夕從事。」","NA"
"si1~si1","sī~sī","si~si","偲偲","偲偲","si~si","NA~NA","人","RED","NA","NA","互相責勉。論語．子路：「朋友切切偲偲，兄弟怡怡。」唐．白居易．代書一百韻寄微之詩：「交賢方汲汲，友直每偲偲。」","NA"
"bang4~bang4","bàng~bàng","bang~bang","傍傍","傍傍","bangH~bangH","*[b]ˤaŋ-s~*[b]ˤaŋ-s","人","RED","NA","NA","NA","NA"
"suo1~suo1","suō~suō","suo~suo","傞傞","傞傞","sa~sa","NA~NA","人","RED","NA","drunkenly reeling, staggering, swaying, lurching; twirling, whirling around","醉舞的樣子。詩經．小雅．賓之初筵：「側弁之俄，屢舞傞傞。」","NA"
"lei3~lei3","lěi~lěi","lei~lei","傫傫","傫傫","lwojX~lwojX","NA~NA","人","RED","NA","tired and overtaxed, fatigued, exhausted","NA","NA"
"jin3~jin3","jǐn~jǐn","jin~jin","僅僅","仅仅","gj+nH~gj+nH","*[g]rə[r]-s~*[g]rə[r]-s","人","RED","堇堇","merely, only just, scarcely, hardly","不多、只有。如：「僅僅一次」。或作「堇堇」、「廑廑」。","NA"
"pu2~pu2","pú~pú","pu~pu","僕僕","僕僕","buwk~buwk","*[b]ˤok~*[b]ˤok","人","RED","NA","annoying(ly), irritating(ly)","勞頓的樣子。如：「風塵僕僕」、「僕僕道途」。繁瑣的樣子。孟子．萬章下：「子思以為鼎肉，使已僕僕爾亟拜也，非養君子之道也。」","NA"
"qi1~qi1","qī~qī","qi~qi","僛僛","僛僛","khi~khi","NA~NA","人","RED","NA","weave drunkenly, stagger","形容人姿勢傾斜不能自正。詩經．小雅．賓之初筵：「亂我籩豆，屢舞僛僛。」","NA"
"jiao4~jiao4","jiào~jiào","jiao~jiao","僬僬","僬僬","tsjewH~tsjewH","NA~NA","人","RED","NA","scurry and scuttle","明察的樣子。荀子．不苟：「其誰能以己之僬僬，受人之掝掝者哉？」形容走得很急促。禮記．曲禮下：「士蹌蹌，庶人僬僬。」","僬 jiao4 also jiao1 (MC tsjew)"
"tong2~tong2","tóng~tóng","tong~tong","僮僮","僮僮","duwng~duwng","NA~NA","人","RED","NA","NA","戒懼恭敬的樣子。詩經．召南．采蘩：「被之僮僮，夙夜在公；被之祈祈，薄言還歸。」","NA"
"tan2~tan2","tán~tán","tan~tan","儃儃","儃儃","danX~danX","NA~NA","人","RED","NA","free and easy, relaxed, easy-going","悠閒的樣子。莊子．田子方：「有一史後至者，儃儃然不趨，受揖不立。」成玄英．疏：「儃儃，寬閒之貌也。」","NA"
"ni3~ni3","nǐ~nǐ","ni~ni","儗儗","儗儗","ngiX~ngiX","NA~NA","人","RED","NA","NA","草木繁盛的樣子。漢書．卷二十四．食貨志上：「故其詩曰：『或芸或芓，黍稷儗儗。』」亦作「薿薿」。迷惑不解的樣子。唐．柳宗元．夢歸賦：「若有鉥予以往路兮，馭儗儗以回復。」","NA"
"biao1~biao1","biāo~biāo","biao~biao","儦儦","儦儦","pjew~pjew","NA~NA","人","RED","NA","NA","行人眾多的樣子。詩經．齊風．載驅：「汶水滔滔，行人儦儦。」","NA"
"you1~you1","yōu~yōu","you~you","優優","优优","'juw~'juw","*ʔ(r)u~*ʔ(r)u","人","RED","NA","NA","和樂的樣子。詩經．商頌．長發：「敷政優優，百祿是遒。」寬裕的樣子。禮記．中庸：「優優大哉，禮儀三百，威儀三千。」","NA"
"lei2~lei2","léi~léi","lei~lei","儽儽","儽儽","lwojH~lwojH","*[r]ˤuj-s~*[r]ˤuj-s","人","RED","NA","NA","NA","same as 689 690"
"wu4~wu4","wù~wù","wu~wu","兀兀","兀兀","ngwot~ngwot","*[ŋ]ˤut~*[ŋ]ˤut","NA","RED","NA","(med.) stuck still, motioness, transfixed; dazed and befuddled, blank and rigit; failure and frustration, suffer in torment","高聳矗立的樣子。唐．楊乘．南徐春日懷古詩：「興亡山兀兀，今古水渾渾。」明．朱權．荊釵記．第十九齣：「巍巍駕海紫金梁，兀兀擎天碧玉柱。」依然。金．元好問．雁門道中書所見詩：「金城留旬浹，兀兀醉歌舞。」勞苦不息的樣子。唐．韓愈．進學解：「焚膏油以繼晷，恆兀兀以窮年。」","NA"
"jing1~jing1","jīng~jīng","jing~jing","兢兢","兢兢","king~king","*k(r)əŋ~*k(r)əŋ","克","RED","NA","strong and stout; cautious and careful, wary","小心謹慎的樣子。書經．皋陶謨：「無教逸欲有邦，兢兢業業，一日二日萬幾。」","NA"
"ran3~ran3","rǎn~rǎn","ran~ran","冉冉","冉冉","nyemX~nyemX","NA~NA","NA","RED","冉冉,苒苒","advancing apace, steadily approaching, insensible gradualness; gently hanging, lithely bending","緩慢行進的樣子。楚辭．屈原．離騷：「老冉冉其將至兮，恐脩名之不立。」醒世恆言．卷四．灌園叟晚逢仙女：「忽見月影下，一青衣冉冉而來。」柔弱下垂的樣子。文選．古詩十九首．冉冉孤生竹：「冉冉孤生竹，結根泰山阿。」文選．曹植．美女篇：「柔條紛冉冉，葉落何翩翩。」濃密迷漫的樣子。元．王實甫．西廂記．第二本．第一折：「耳邊廂金鼓連天振，征雲冉冉，土雨紛紛。」明．王夫之．玉樓春．娟娟片月涵秋影詞：「綠雲冉冉粉初勻，玉露泠泠香自省。」","NA"
"jiong3~jiong3","jiǒng~jiǒng","jiong~jiong","冏冏","冏冏","kjwaengX~kjwaengX","NA~NA","冂","RED","NA","glowing gloriously, glinting and gleaming","NA","NA"
"leng3~leng3","lěng~lěng","leng~leng","冷冷","冷冷","lengX~lengX","NA~NA","冫","RED","NA","onom. Zither playing clear and melodious notes","寒冷。宋．王偊偁．李太白真讚序：「冷冷碧江，下浸秋石。」態度冷漠。如：「他只對她冷冷的一笑，一句寒暄的話也不肯說。」","NA"
"lin3~lin3","lǐn~lǐn","lin~lin","凜凜","凛凛","limX~limX","*[r][ə]mʔ~*[r][ə]mʔ","冫","RED","NA","stinging chill, numbingly cold; quaking with fear","NA","NA"
"diao1~diao1","diāo~diāo","diao~diao","刁刁","刁刁","tew~tew","NA~NA","𠃌","RED","NA","flutter and flitter; quiver and shiver","動搖的樣子。多用以形容草木。莊子．齊物論：「厲風濟，則眾竅為虛。而獨不見之調調之刁刁乎？」郭象．注：「調調、刁刁，動搖貌也。」","NA"
"ci4~ci4","cì~cì","ci~ci","刺刺","刺刺","tshjeH~tshjeH","*[tsʰ]ek-s~*[tsʰ]ek-s","刀","RED","NA","piercing (wind, cold), sharp and stinging; verbose","多言的樣子。唐．韓愈．送殷員外序：「丁寧顧婢子，語刺刺不能休。」","NA"
"la4~la1","là~lā","la~la","剌剌","剌剌","lat~lat","*mə.rˤat (~ C.rˤat ?)~*mə.rˤat (~ C.rˤat ?)","刀","RED","NA","onom. Gusting or lapping wind","狀聲詞。形容風聲或拍擊聲。唐．李商隱．送千牛李將軍赴闕五十韻：「去程風剌剌，別夜漏丁丁。」語助詞。表示加重語氣。元．王曄．桃花女．第三折：「倒做這等魘鎮事，欺心剌剌的。我不去！我不去！」紅樓夢．第二十六回：「薛蟠道：『越發說的人熱剌剌的丟不下。』」","NA"
"jie2~jie2","jié~jié","jie~jie","劫劫","劫劫","kjaep~kjaep","*k(r)ap~*k(r)ap","力","RED","NA","in a hurry; age after age (time)","追求不息的樣子。唐．韓愈．貞曜先生墓誌銘：「人皆劫劫，我獨有餘。」世世。唐．白居易．畫水月菩薩讚：「生生劫劫，長為我師。」","NA"
"xiong1~xiong1","xiōng~xiōng","xiong~xiong","匈匈","匈匈","xjowng~xjowng","NA~NA","勹","RED","NA","hue and cry, row and racket, blare and babble; uproar, commotion; scurry and scramble, unrest and agitation","喧嘩、吵嚷。莊子．在宥：「自三代以下者，匈匈焉，終以賞罰為事，彼何暇安其性命之情哉！」漢書．卷六十五．東方朔傳：「天不為人之惡寒而輟其冬，地不為人之惡險而輟其廣，君子不為小人之匈匈而易其行。」動亂不安。史記．卷七．項羽本紀：「天下匈匈數歲者，徒以吾兩人耳，願與漢王挑戰決雌雄，毋徒苦天下之民父子為也。」南史．卷七十．循吏傳．沈瑀傳：「不然人情匈匈，皆思改計；若不早圖，眾散難合。」","NA"
"qu1~qu1","qū~qū","qu~qu","區區","区区","khju~khju","*qˤ(r)o~*qˤ(r)o","NA","RED","NA","trifling and trivial, nugatory, of little or no account > self-depreciatory ref. my insignificant self","微小。左傳．襄公十七年：「宋國區區，而有詛有祝，禍之本也。」舊唐書．卷一一一．張鎬傳：「臣聞天子修福，要在安養含生，靖一風化，未聞區區僧教，以致太平。」近戔戔自稱的謙詞。文選．李陵．答蘇武書：「區區之心，切慕此耳。」文選．李密．陳情表：「母孫二人更相為命，是以區區不能廢遠。」志得意滿的樣子。商君書．修權：「今亂世之君臣，區區然皆擅一國之利，而管一官之重，以便其私。」忠誠、愛戀。文選．古詩十九首．孟冬寒氣至：「一心抱區區，懼君不識察。」樂府詩集．卷七十三．雜曲歌辭十三．古辭．焦仲卿妻：「新婦謂府吏：『感君區區懷，君既若見錄，不久望君來。』」胸襟不開朗。董西廂．卷一：「莫區區，好天良夜且追遊。」憨愚，死心眼。樂府詩集．卷七十三．雜曲歌辭十三．古辭．焦仲卿妻：「阿母謂府吏：『何乃太區區。』」隋書．卷六十四．來護兒傳：「會為國滅賊以取功名，安能區區久事隴畝！」辛苦、殷勤。董西廂．卷一：「區區四海遊學，一年多半，身在天涯。」元．鄭光祖．㑳梅香．第二折：「小生區區千里而來，只為小姐這門親事。」","NA"
"yan1~yan1","yān~yān","yan~yan","厭厭","厌厌","'jem~'jem","*ʔep~*ʔep","NA","RED","NA","satisfied, contend(ed); tranquil; still and serene; darkly dim","安靜的樣子。詩經．小雅．湛露：「厭厭夜飲，不醉無歸。」茂盛的樣子。詩經．周頌．載芟：「厭厭其苗，綿綿其麃。」露水重的樣子。元．鄭光祖．倩女離魂．第二折：「趁著這厭厭露華，對著這澄澄月下，驚的那呀呀呀寒鴈起平沙。」暗淡、微弱的樣子。漢書．卷七十五．李尋傳：「列星皆失色，厭厭如滅。」虛弱生病的樣子。元．白樸．東牆記．第一折：「早是這兩日茶飯不進，厭厭瘦削。」初刻拍案驚奇．卷十六：「只是王氏生來嬌怯，厭厭弱病嘗不離身的。」亦作「懨懨」。","yan1 usually pronounced as yan4"
"sou3~sou3","sǒu~sǒu","sou~sou","叟叟","叟叟","sjuw~sjuw","*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX)~*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX)","NA","RED","NA","onom. of washing rice: shyoo-shyoo","狀聲詞。形容淘米的聲音。詩經．大雅．生民：「釋之叟叟，烝之浮浮。」亦作「溲溲」。","radical support?"
"you1~you1","yōu~yōu","you~you","呦呦","呦呦","'jiw~'jiw","NA~NA","口","RED","NA","onom. of the bleating or mewing of dee: nyaaoo-nyaaoo; (med.) onom. of weeping: ngew-ngew","狀聲詞。形容鹿鳴聲。詩經．小雅．鹿鳴：「呦呦鹿鳴，食野之苹。」唐．李頎．聽董大彈胡笳兼寄語弄房給事詩：「迸泉颯颯飛木末，野鹿呦呦走堂下。」","NA"
"che4~che4","chè~chè","che~che","呫呫","呫呫","tsyhep~tsyhep","NA~NA","口","RED","NA","babble on, chatter","低聲細語。宋．黃庭堅．次韻正仲三丈自衡山返命舍驛過外舅師厚贈答詩：「昏昏市井氣，呫呫兒女語。」多話的樣子。唐．柳宗元．讀韓愈所著毛穎傳後題：「貪常嗜瑣者，猶呫呫然動其喙，亦勞甚矣乎。」","NA"
"nao2~nao2","náo~náo","nao~nao","呶呶","呶呶","nraew~nraew","NA~NA","口","RED","NA","(med.) rdup., yak and grab, meaningless; also, (med.) bawl and bray, yap and wail","形容說起話來沒完沒了、喧嚷不停。唐．柳宗元．答韋中立論師道書：「豈可使呶呶者早暮咈吾耳，騷吾心，則固僵仆煩憒，逾不可過矣。」","NA"
"duo1~duo1","duō~duō","duo~duo","咄咄","咄咄","twot~twot","*[t]ˤut~*[t]ˤut","口","RED","NA","gasp of surprise; sigh of disatisfaction; expression of impatience (e.g., tsk tsk, tut tut)","感嘆聲、驚怪聲。後漢書．卷八十三．逸民傳．嚴光傳：「咄咄子陵，不可相助為理邪？」唐．袁郊．紅線：「嵩聞之，日夜憂悶，咄咄自語，計無所出。」","NA"
"jiao1~jiao1","jiāo~jiāo","jiao~jiao","咬咬","咬咬","kaew~kaew","NA~NA","口","RED","NA","chaffering, chittering of birds","狀聲詞。形容鳥叫的聲音。文選．禰衡．鸚鵡賦：「采采麗容，咬咬好音。」","jiao1 usually pronounced yao3"
"ji1~ji1","jī~jī","ji~ji","唧唧","唧唧","tsik~tsik","NA~NA","口","RED","NA","onom. Sigh of sadness or admiration; onom. Bird's chirping, cicada's humming, cricket's chirping","狀聲詞：(1)​ 形容機杼聲或嘆息聲。南朝梁．無名氏．木蘭詩二首之一：「唧唧復唧唧，木蘭當戶織。不聞機杼聲，唯聞女歎息。」(2)​ 形容嘆息聲。唐．白居易．琵琶行：「我聞琵琶已嘆息，又聞此語重唧唧。」(3)​ 形容蟲鳴聲。唐．王維．青雀歌：「猶勝黃雀爭上下，唧唧空倉復若何。」唐．李郢．宿杭州虛白堂詩：「秋月斜明虛白堂，寒蛩唧唧樹蒼蒼。」(4)​ 形容鳥鳴聲。唐．劉禹錫．鶗鴂吟：「如何上春日，唧唧滿庭飛。」(5)​ 形容哭泣聲。宋．蘇軾．岐亭詩五首之一：「醒時夜向闌，唧唧銅缾泣。」","NA"
"beng3~beng3","běng~běng","beng~beng","唪唪","唪唪","buwngX~buwngX","NA~NA","口","RED","NA","lush (of fruit), profusely plentiful","多實的樣子。詩經．大雅．生民：「蓺之荏菽，荏菽旆旆，禾役穟穟，麻麥幪幪，瓜瓞唪唪。」","NA"
"wei3~wei3","wěi~wěi","wei~wei","唯唯","唯唯","ywijX~ywijX","*ɢʷij (< *ɢʷuj?)~*ɢʷij (< *ɢʷuj?)","口","RED","NA","stammering self-depreciating response, quite-so, quite-so","恭敬應諾之詞。漢書．卷五十七．司馬相如傳上：「齊王曰：『雖然，略以子之所聞見言之。』僕對曰：『唯唯。臣聞楚有七澤，嘗見其一，未睹其餘也。』」聊齋志異．卷十一．王者：「明日，衣冠者召之去，曰：『今日可見矣。』州佐唯唯。」","wei3 usually reads as wei2"
"tun1~tun1","tūn~tūn","tun~tun","啍啍","啍啍","thwon~thwon","NA~NA","口","RED","NA","jumbled and jangled, noisy and annoying; insist(ent) and reiterate(d)","遲重緩慢的樣子。詩經．王風．大車：「大車啍啍，毳衣如璊。」多言。孔子家語．卷一．五儀解：「無取啍啍，捷捷貪也，鉗鉗亂也，啍啍誕也。」","NA"
"e4~e4","è~è","e~e","啞啞","哑哑","'eak~'eak","*ʔˤraʔ~*ʔˤraʔ","口","RED","NA","onom. of laughter, heh-heh","狀聲詞：(1)​ 形容小兒學語聲。唐．于鵠．古詞三首之二：「新長青絲髮，啞啞言語黠。」聊齋志異．卷二．口技：「小兒啞啞，貓貓唔唔。」(2)​ 形容鳥鳴聲。淮南子．原道：「故夫烏之啞啞，鵲之唶唶，豈嘗為寒暑燥溼，變其聲哉。」唐．白居易．慈烏夜啼詩：「慈烏失其母，啞啞吐哀音。」(3)​ 形容車聲。宋．陸游．滄灘詩：「嘔嘔啞啞車轉急，舟人已在沙際立。」狀聲詞。形容笑聲。易經．震卦．初九：「震來虩虩，後笑言啞啞，吉。」清．張爾岐．蒿庵集．卷一：「今夫人生而呱呱以啼，啞啞以笑。」","NA"
